Species,Mo_since_burn_grouped,Count
Melissodes bidentis,0 to 5,1
Melissodes agilis,0 to 5,1
Bombus impatiens,0 to 5,1
Xylocopa virginica,0 to 5,1
Xylocopa virginica,0 to 5,1
Bombus griseocollis,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Melissodes bidentis,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes bidentis,6 to 10,1
Megachile albitarsis,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,0 to 5,1
Melissodes bidentis,0 to 5,1
Xylocopa virginica,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Lasioglossum callidum,16 to 20,1
Halictus ligatus/poeyi,16 to 20,1
Andrena asteroides,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Melissodes communis,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Melissodes bidentis,16 to 20,1
Lasioglossum timothyi,16 to 20,1
Lasioglossum 12,16 to 20,1
Lasioglossum coreopsis,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,21 plus,1
Lasioglossum hemimelas,21 plus,1
Bombus impatiens,21 plus,1
Melissodes agilis,21 plus,1
Bombus impatiens,21 plus,1
Bombus impatiens,21 plus,1
Melissodes tinctus,21 plus,1
Lasioglossum perpunctatum,21 plus,1
Lasioglossum raleighense,21 plus,1
Bombus pensylvanicus,16 to 20,1
Melissodes dentiventris,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Lasioglossum 11,16 to 20,1
Lasioglossum 5,16 to 20,1
Lasioglossum perpunctatum,16 to 20,1
Lasioglossum platyparium,16 to 20,1
Bombus pensylvanicus,6 to 10,1
Ceratina strenua,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes agilis,6 to 10,1
Melissodes bidentis,6 to 10,1
Bombus impatiens,6 to 10,1
Augochloropsis metallica,6 to 10,1
Melissodes druriellus,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes communis,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes trinodis,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes agilis,6 to 10,1
Andrena fulvipennis,6 to 10,1
